,review_rating,review_text,verified_purchase,total_words,total_characters,total_stopwords,total_punctuations,total_uppercases,sentiment,sentiment_label
63,5,great bodi wash cheap fast deliveri,True,7,40,1,1,2,0.46666666666666673,positive
64,1,yet tri tast day age start produc perfect glass bottl suddenli plastic,False,23,121,10,3,0,1.0,positive
65,1,even worth one star bring lot white stuff high expect product total failur wast,True,24,125,10,3,2,0.11499999999999999,positive
66,5,bought step dad,True,6,27,3,0,1,0.0,neutral
67,5,love oh smell good hate year still everyon els,True,23,99,14,1,5,0.1333333333333333,positive
68,5,great gift,True,2,10,0,0,1,0.8,positive
69,5,classic know hellman mayo cap stay much cleaner jar tast great everyth,False,23,124,11,3,15,0.3888888888888889,positive
70,5,cool,True,1,4,0,0,1,0.35,positive
71,5,absolut great moistur dri skin complain smell great skin like coca butter smell,True,21,121,7,3,4,0.8,positive
72,5,great packag buy,True,3,17,0,0,1,0.8,positive
73,5,work well truli invis,True,5,30,1,0,1,0.0,neutral
74,3,nice cost effect,True,4,23,1,0,1,0.6,positive
75,5,great,True,1,5,0,0,1,0.8,positive
76,5,exactli say kitchen sink alway get block sinc put block last month,True,29,144,16,0,2,0.0,neutral
77,4,favourit scent intens rang smell love last age cloth use recommend amount otherwis scent strong definit wash probabl half,False,41,236,18,5,4,0.19166666666666668,positive
78,5,find best laundri part includ use one dose like liquid powder smell great wash well,False,35,167,19,3,2,0.9,positive
79,5,calori realli big portion,False,9,47,4,0,1,0.0,neutral
80,4,cream easi appli feel extremli cool doesnt dri kind sticki feel littl scent fact frangranc fairli neutral good cream spread soak easili review collect part promot,False,59,303,31,6,5,0.5499999999999999,positive
81,5,execel product made skin feel silki smooth extrem hydrat use coupl week skin felt healthier hydrat overal look better would definit recommend product friend review collect part promot,False,46,278,17,8,4,0.45,positive
82,4,cream light odourless leav skin feel genuin smooth suppl refresh use part nightli routin appli go bed wash dri face light enough clog pore feel sticki face morn face alway feel smooth replenish also tri use cream daytim benefit describ u long last enough term hydrat give mean often feel need reappli hour great overnight moisturis sensit skin u unscent u realli gentl sore patch review collect part promot,False,136,761,63,20,6,0.20375000000000001,positive
83,5,fresh clean reliabl deliveri,True,5,34,1,1,2,0.33333333333333337,positive
84,5,great combin start use yo born still use,True,15,79,7,1,1,0.8,positive
85,5,nice fresh smell product,True,5,32,1,0,1,0.44999999999999996,positive
86,5,crave thing transport us back innoc time bovril one thing gooey unctuous tar black bovril overflow spoon ding ding ding stir hot water make dissolv earthi beefi smell hint celeri good know els sometim get alcohol fatigu bovril great altern nightcap even mug tea even go far dissolv pat butter extra rich within hour pretti much knock sleep soundli morn warm comfort pack last long time sure certainli winter,True,132,681,61,12,10,0.2544871794871795,positive
87,5,love bought cheaper home bargain,True,10,52,4,2,1,0.5,positive
88,1,item damag unabl pour without spillag transfer anoth bottl unabl wait replac,True,20,124,8,3,1,0.0,neutral
89,5,good price,True,2,11,0,1,1,0.7,positive
90,5,came fast,True,4,18,2,1,1,0.2,positive
91,5,hi simpl absolut must facial moisturis cannot find uk store anywher discontinu product pleas,False,25,157,10,7,8,0.0,neutral
92,1,pleas go back old capsul new one make household suffer terribl allerg reaction constant hay fever,False,23,128,5,3,1,0.05909090909090909,positive
93,4,never usual use laundri soften pleasantli surpris result product cloth smelt great smell last despit children best effort cloth came much softer think convert,False,39,239,15,4,5,0.425,positive
94,5,marmit lover switch back glass jar marmit right consist squeez glass jar recycl,False,31,159,16,5,2,0.14285714285714285,positive
95,5,great,True,1,5,0,0,1,0.8,positive
96,5,thank,True,2,9,1,0,1,0.0,neutral
97,5,got great buy put much wash clean cloth end fragranc last long time,True,29,135,14,1,4,0.2633333333333333,positive
98,5,lure entic fragranc condition notic eye would smart kid would ask seem squint eye back use comfort pure use reaction smell good soften cloth complain,False,53,286,26,7,7,0.28214285714285714,positive
99,5,give good result fragranc strong though last long time realli like realli abl still use product avoid,False,41,198,20,4,4,0.2708333333333333,positive
100,5,good,True,1,4,0,0,1,0.7,positive
101,5,good size spray,True,3,15,0,0,1,0.7,positive
102,5,price bulk pack less buy item individu somewher els use shampoo tend dri hair like use lot chemic product perfect contain noth keep dandruff free even anti dandruff shampoo alway work found past,True,62,343,29,9,6,0.24583333333333335,positive
103,5,like make soup casserol product well,True,15,77,7,3,2,0.0,neutral
104,5,best ice cream ever,False,5,23,1,0,1,1.0,positive
105,5,live extrem hard water area half year soon hair becom dri scalp sensit great shampoo husband complet satisfi,False,37,194,18,7,5,0.11950757575757576,positive
106,5,easi use recommend want get glam go somewher product use,True,25,110,15,1,2,0.0,neutral
107,1,disappoint show big condition small arriv,True,7,52,1,0,1,-0.125,negative
108,5,know work,True,6,26,4,0,1,0.0,neutral
109,3,clean cloth well mani cloth smell good wise price good,True,22,115,10,0,3,0.6166666666666667,positive
110,5,would recommend good valu,True,6,30,1,1,1,0.7,positive
111,5,buy thank,True,6,28,4,0,1,0.0,neutral
112,5,say,True,6,25,5,0,1,0.0,neutral
113,5,alway fan dove product antiperspir effect last longer product ever use realli gentl skin keep fresh day long,True,30,171,10,4,4,0.08333333333333333,positive
114,5,expect repeat purchas,True,5,29,1,1,1,0.0,neutral
115,5,excel valu money,True,4,25,1,0,1,0.0,neutral
116,5,excel clean good valu,True,4,31,0,2,2,0.5333333333333333,positive
117,5,happi,True,4,18,3,0,1,0.0,neutral
118,5,excel valu,True,2,15,0,0,1,0.0,neutral
119,5,great valu shampoo,False,3,19,0,0,2,0.8,positive
120,5,exactli wat say box amazon deal less money spent,True,16,74,7,1,1,-0.13333333333333333,negative
121,1,exact similar litr one costco thick smelt love similar regular size one supermarket think larg quantiti issu one amazon runni dilut smell soften cloth may fake think realli curiou bad batch amazon sourc genuin product baffl,True,74,413,30,5,14,-0.09374999999999999,negative
122,5,amaz offer price resist,True,5,37,1,3,2,0.0,neutral
123,1,hand realli dri bleed due eczema handwash dosent dri hand make bleed,False,29,141,17,1,1,-0.125,negative
124,5,issu say,True,6,28,4,1,1,0.0,neutral
125,5,need say use time soup risotto,True,13,62,6,2,3,0.0,neutral
126,5,simpli love deodrant scent great fresh sporti use week never problem never leav white mark cloth,False,37,185,19,5,4,0.4,positive
127,5,thicken gravi realli well add wonder flavour,False,9,53,2,0,1,0.0,neutral
128,5,amaz great price,True,5,27,2,0,1,0.8,positive
129,4,smell great easi one hand applic,True,6,41,0,1,1,0.8,positive
130,5,good valu would recommend,True,6,34,2,1,2,0.7,positive
131,5,bodi deodor love smell great valu money,False,11,59,4,1,1,0.65,positive
132,5,floor cleaner use smell good home feel refresh use,True,17,84,8,1,3,0.7,positive
133,5,btilliant buy,True,2,13,0,0,1,0.0,neutral
134,5,valu money,True,3,15,1,0,1,0.0,neutral
135,5,fabric condition work less one smell divin last,True,18,96,8,2,1,-0.08333333333333333,negative
136,2,find shop bought line thought fake brand smell similar quit africa poorer product sinc new label,False,27,163,11,5,4,-0.12121212121212122,negative
137,2,use year happi last can nozzl block within week cant clear hot water bit disappoint,False,27,141,10,4,3,0.11666666666666668,positive
138,1,buy year content good howev bottl aw three time cut right fingernail open also turn upsid approach empti due ridicul design bottl,False,48,268,25,8,5,0.2151785714285714,positive
139,5,pleasant use littl scent want shower gel brilliant nasti chemic smell super clean design great whole famili young old simpl product skin friendli mean perfum colour honestli say product leav skin irrit sensit problemat skin prone dermat stuff could use face wash gentl review collect part promot,False,91,523,43,19,9,0.35787037037037034,positive
140,5,wipe great get stubborn make love fact wipe infus miner plant extract use ther irrit sting face feel smooth refresh review collect part promot,False,50,282,24,7,3,0.5666666666666668,positive
141,5,great qualiti wipe strong use tear apart like wipe must buy brand name purchas near futur satisfi simpl product line review collect part promot,False,46,257,20,8,5,0.4444444444444445,positive
142,5,love face wipe great job remov make left skin feel squeaki clean ad bonu absenc strong smell feel product left skin love review collect part promot,False,54,273,26,6,4,0.37142857142857144,positive
143,4,sensit skin work realli well took make easili u irrit skin felt realli refresh would definit purchas futur use would recommend product review collect part promot,False,46,278,19,9,5,0.0,neutral
144,5,use month realli pleas work get make easili smell nice wet leav skin moisturis silki clean irrit defient new favourit make remov review collect part promot,False,48,261,21,3,7,0.25075757575757573,positive
145,4,tri test skin quench night cream light soft textur appli night soak skin make fell soft would recommend product friend famili work wonder review collect part promot,False,51,281,22,7,3,0.19999999999999998,positive
146,4,happi product light skin sensit would recommend appli much wish day u feel bad come easi use plastic tub easi screw top review collect part promot,False,53,274,25,8,6,0.10000000000000006,positive
147,4,great water base moisturis light skin give dewi complexion sinc use product twice day notic signific improv skin elast skin tone review collect part promot,False,51,281,25,7,5,0.13333333333333333,positive
148,5,anoth great product simpl ever stop make pleas,False,14,82,5,6,3,0.8,positive
149,5,good flavor,True,2,11,0,0,0,0.7,positive
150,5,great,True,1,5,0,0,0,0.8,positive
151,5,question say bottl,True,8,36,5,0,1,0.0,neutral
152,4,good valu favourit condition,True,6,42,2,2,2,0.7,positive
153,5,love smell,True,2,12,0,0,0,0.5,positive
154,3,love product howev hard spray would recommend though,True,11,70,2,3,3,0.10416666666666666,positive
155,5,got tri wasnt disappoint littl less thick condition market make go also notic tray doesnt get mucki afterward cloth soft love subtl scent still use larg bottl go long way,False,58,302,27,4,4,0.01666666666666666,positive
156,5,littl goe long way,False,6,24,2,0,1,-0.05,negative
157,2,convinc smell match origin seem less thick previou descript refer batteri review show verifi purchas none name,True,28,178,10,5,5,-0.23333333333333334,negative
158,5,great soap wife love actual moistur skin everytim use,True,21,106,10,3,3,0.43333333333333335,positive
159,5,love soap clean well keep hand moist good peopl eczema,True,15,84,5,2,2,0.5222222222222223,positive
160,5,definit worth money laundri often last month definit buy,True,21,116,11,3,3,0.15,positive
161,5,arriv super fast two good size bottl dont know peopl moan review size fabric soften ultra concentr dont need use full cap last long enough fabric soften also smell great,True,49,265,19,6,4,0.2916666666666667,positive
162,5,great product happi,True,6,32,3,0,1,0.8,positive
163,5,great price purchas still price would subscrib buy,True,19,95,9,2,3,0.8,positive
164,5,love smell pour smaller bottl make use manag beat,True,17,97,6,4,3,0.25,positive
165,5,pod work well use great valu three bag bought,True,20,96,9,3,3,0.8,positive
166,5,love comfort pure children sensit skin irrit like soften done past scent also pleasant overpow,False,32,183,17,3,5,0.2994047619047619,positive
167,5,thank,True,1,6,0,0,1,0.0,neutral
168,5,bit wateri,True,2,10,0,0,1,0.0,neutral
169,5,good,True,1,4,0,0,1,0.7,positive
170,2,blue bottl alot better smell less blue bottl cloth hang outsid wash line small anyth,False,24,138,8,2,2,0.016666666666666673,positive
171,5,great valu money smell nice seem stop hair static day use,True,18,87,7,1,2,0.6333333333333333,positive
172,3,good product,True,2,12,0,0,1,0.7,positive
173,2,product arriv broken spilt insid envelop,True,13,73,7,1,1,-0.4,negative
174,2,squirt well,False,5,24,3,0,0,0.0,neutral
175,5,good valu amount capsul get packet good price,True,18,85,10,0,1,0.7,positive
176,5,bit runni thick liquid ok,True,10,49,5,2,1,0.09999999999999998,positive
177,5,work great,True,2,11,0,0,1,0.8,positive
178,1,use simpl rich moisturis year need find altern new formula burn skin real shame loyal custom switch inform explan provid manufactur,False,42,240,21,5,5,0.2611742424242424,positive
179,5,excel valu money,True,4,25,1,0,0,0.0,neutral
180,5,great buy,True,7,33,4,2,2,0.8,positive
181,3,person tast sold mine,True,7,40,1,3,2,0.0,neutral
182,5,three flavour good,False,8,37,5,0,1,0.7,positive
183,5,tri mani english mustard time alway come back colman sunday roast take tube invari serv inferior one,False,38,179,21,2,8,0.0,neutral
184,5,titl suggest realli wont buy tea bag pg tip good strong flavour like strong tea get realli good cup tea bag overli packag like never problem damag tea bag other mention continu buy stapl,False,63,321,29,9,10,0.42833333333333334,positive
185,5,bleach bleachi bleach bleach,False,6,38,2,2,2,0.0,neutral
186,4,buy shampoo husband shave head everi week year doesnt requir expens shampoo fragranc love complaint product lather well clean head tini bit hair perfectli nice packag realli cant go wrong,False,57,320,26,8,6,0.1333333333333333,positive
187,5,dove deodor stick best deodor ever use goe love smell amaz leav feel dri confid smell fresh day long love product star highli recommend,False,41,225,16,5,5,0.45,positive
188,5,great qualiti,True,2,13,0,0,1,0.8,positive
189,5,buy amazon prime order problem,True,11,53,6,1,1,0.0,neutral
190,5,great product love scent last age,True,7,43,1,3,2,0.43333333333333335,positive
191,5,,True,1,2,0,1,1,0.0,neutral
192,5,wash cloth nice,True,3,19,0,0,1,0.6,positive
193,5,great tast add depth flavour meal importantli famili gluten free,True,20,108,9,2,2,0.6000000000000001,positive
194,1,year ago use love pot noodl student yuck add addit sauc even pasta tast like carboard situat recent access kettl chose mugshot big mistak,True,49,260,26,9,5,0.16666666666666666,positive
195,1,like product bottl unsuit plastic thin good thing mean almost imposs pick bottl fill small cap without spill signific amount especi bottl still rel full buy happi decant content sturdier bottl,False,66,363,34,8,4,0.01749999999999998,positive
196,5,love lynx product happi buy write review femal like scent men product think scent stay longer skin nice consist lose hand plughol,False,50,242,28,4,5,0.55,positive
197,5,perfect,True,1,7,0,0,0,1.0,positive
198,5,great product great price,True,4,26,0,1,2,0.8,positive
199,5,last forev work well chang anoth brand smell pretti neutral,True,17,96,7,3,3,0.0,neutral
200,5,goo,True,1,4,0,0,1,0.0,neutral
201,5,consider friend brought dinner parti vegan enjoy turn everybodi love even dairi version delici flavour less heavi textur realli good vanilla ice cream,False,42,244,18,3,2,0.35833333333333334,positive
202,2,product fine struggl get smooth thin lid time wet hand imposs also design make difficult hold pour bottl buy,False,36,189,16,7,6,-0.03666666666666667,negative
203,5,alway buy product love qualiti product smell nice leav mark cloth,False,20,113,8,9,3,0.55,positive
204,5,love product keep hair protect,True,9,48,4,1,2,0.5,positive
205,5,happi item,True,3,15,1,0,1,0.0,neutral
206,5,brilliant product left drain clear clean,False,8,50,2,1,2,0.3416666666666667,positive
207,5,great valu,True,2,11,0,0,1,0.8,positive
208,5,fine,True,1,4,0,0,1,0.4166666666666667,positive
209,3,v bought load offer use wash half cap small much good sens smell way descript say put drop like wtf need cap full think wash,False,53,244,24,10,8,0.02666666666666666,positive
210,5,bulk bought drive heavi carri supermarket scent good suppos last wash use half lidful like throw full cap last long,False,48,236,27,8,4,0.13888888888888887,positive
211,4,quit solid product find easier use contain place warm water minut use,True,24,117,12,2,2,0.3,positive
212,5,good alround thank,True,3,19,0,0,3,0.7,positive
213,5,pouch arriv persil box brown box safe packag good wash capsul easi use,True,20,103,6,2,1,0.6,positive
214,5,fantast price mother law love great product,True,9,63,2,4,2,0.65,positive
215,5,well worth,False,3,13,1,0,1,0.3,positive
216,1,seem genuin brand came product smell liquid usual consist comfort buy,True,26,152,14,10,10,-0.25,negative
217,3,idea claim wash,True,8,39,4,2,1,0.0,neutral
218,4,like product,True,2,12,0,0,1,0.0,neutral
219,5,get live dead handi,True,11,51,6,0,3,-0.03181818181818183,negative
220,5,love smell,True,3,15,1,0,1,0.5,positive
221,5,smell good expens,True,5,29,2,0,0,0.7,positive
222,4,good,True,1,4,0,0,1,0.7,positive
223,5,love use past coupl year recent bought amazon found whole lot cheaper boot also use tame hair dri along protect heat,True,49,232,26,4,6,0.04666666666666667,positive
224,5,good valu money,True,4,20,1,0,1,0.7,positive
225,1,know anyon like smell tast like weed vinegar,False,13,79,4,3,2,0.0,neutral
226,2,struggl open lid spill everi time tri use cap measur terribl design product itsel fine would avoid buy irrit lid,False,36,189,16,5,4,0.20833333333333334,positive
227,1,use mani year problem differ product itch bought differ shop still itchi product buy anymor,False,37,195,22,4,3,0.0,neutral
228,5,bought week ago tri mani differ tan product best come across leav skin feel moisturis soft nice natur tan streak definit recommend product,False,41,236,17,4,4,0.5666666666666668,positive
229,4,good valu money contain make difficult pour without spill,True,15,87,6,1,1,0.09999999999999998,positive
230,2,never buy capsul stuck togeth leak make unus cancel subscript,True,20,128,8,2,3,0.0,neutral
231,4,good clean product kid sensit skin,True,10,58,4,0,1,0.5333333333333333,positive
232,5,nice mustard smooth tasti,False,7,33,2,1,1,0.5,positive
233,5,great,False,1,5,0,0,1,0.8,positive
234,3,price rate nephew want christma use,True,17,97,11,4,3,0.0,neutral
235,5,your look super moistur bodi wash leav skin super soft,False,17,90,6,2,2,0.25555555555555554,positive
236,5,love bodi skin get super dri winter product help reduc fyi skin,False,20,97,8,0,4,0.41666666666666663,positive
237,5,use kid sensit skin doesnt irrit us great last scent littl bit goe long way bottl last price reason compar similar product,False,48,247,25,7,5,0.15,positive
238,4,bodi wash soft origin dove origin smell love prefer smell cucumb green tea deep mostur bodi wash mean definetli work great product mostureris prefer one still recommend good product,False,53,282,21,10,7,0.22678571428571428,positive
239,4,use winter help keep skin moistur find need follow lotion shower skin get dri work well inexpens like plain scent well,False,47,220,26,5,7,-0.21428571428571427,negative
240,5,feel like im realli get clean love lotion feel overli price,False,18,91,6,2,4,0.43333333333333335,positive
241,5,love soft skin feel use product cold winter month especi help,False,19,108,8,3,2,0.0,neutral
242,5,good,True,2,9,1,0,1,0.7,positive
243,5,huge bottl smell love cloth dri indoor didnt need soften exxtra scent fast deliveri thankyou,True,15,118,2,7,1,0.3666666666666667,positive
244,1,buy frequent leav slime cloth particularli lower temperatur wash manufactur know packag advis simpli rins warm water occur take kg load machin easi spot usual find put garment time dri encrust,True,69,383,34,13,5,0.15,positive
245,5,great smell clean brilliantli,True,8,45,4,0,1,0.5833333333333334,positive
246,4,packag comfort spilt time put wash machin heavi like said comfort wise good,True,29,147,16,0,3,0.7,positive
247,5,great price,True,6,28,4,0,0,0.8,positive
248,5,love size bottl smell gorgeou littl goe long way,True,17,81,8,3,1,0.225,positive
249,5,fab stock filler,True,3,20,0,1,1,0.0,neutral
250,5,great buy use blow dri hair prevent heat damag would recommend got great price bottl,True,26,124,10,0,3,0.8,positive
251,5,happi yet prob fault get spray gun work star cheap deliv quick numpti open,True,24,134,7,2,3,0.24444444444444446,positive
252,3,condition good howev bottl lid terribl difficult pour tini lid measur bottl slipperi hold pour buy caus much aggrav,False,40,227,22,6,4,0.13333333333333333,positive
253,5,cannot beat,True,4,18,2,0,0,0.0,neutral
254,5,never chang,True,2,13,0,0,0,0.0,neutral
255,5,amazinng smell skin look realli health use,True,11,61,4,1,2,0.0,neutral
256,5,mayb mani,True,6,24,2,2,0,0.0,neutral
257,5,perfect price,True,2,13,0,0,0,1.0,positive
258,1,arriv broken lid leak box half bottl left,True,14,69,6,1,1,-0.18888888888888888,negative
259,4,good valu set took star expect comfort size persil quit bit smaller pictur mislead apart great set reason price,True,45,208,25,1,2,0.5,positive
260,5,stock save money quit strong smell need use much,True,15,71,5,2,1,0.31666666666666665,positive
261,5,love creami soap would use anyth els love lather shower smell love noth like,True,23,124,9,0,0,0.5,positive
262,5,good,True,1,4,0,0,1,0.7,positive
263,5,nice smell great anitipersperi also work men,True,9,61,2,2,1,0.7,positive
264,5,love product work realli well protect hair would expect,True,14,74,5,0,2,0.5,positive
265,5,good,True,1,4,0,0,1,0.7,positive
266,5,make hair smell great definit recommend product condition work realli great well,True,16,108,4,4,3,0.8,positive
267,5,amaz came perfect time,False,6,32,2,0,1,1.0,positive
268,5,alway take badeda go holiday love bath sooth skin day sun,False,25,111,14,1,3,0.5,positive
269,1,sorri say tast aw creat greasi film top stain teeth ceram think peopl milk realis get mix straight would see bad two cent,False,48,233,23,6,4,3.700743415417188e-17,positive
270,5,go laundri deterg work even,True,10,53,4,2,2,0.0,neutral
271,5,nice smell last longer,True,5,26,1,0,1,0.3,positive
272,5,love smell,False,6,24,4,0,1,0.5,positive
273,5,met usual lynx standard,True,4,26,0,0,2,-0.125,negative
274,5,love scent good wash,True,6,28,2,0,1,0.6,positive
275,5,excel,True,1,9,0,0,1,0.0,neutral
276,1,cream burn skin lot spot buy,False,17,69,11,1,4,0.0,neutral
277,5,never use anyth els soft creami pamper ideal summer winter skin tri other noth compar worth everi penni,False,24,147,6,6,4,0.29375,positive
278,5,bought product mani time best eye cream around view especi us advanc year need someth gentl effect excel vitamin miner simpl approach skin cream choos anyth els fact buy onlin boot local store alway stock,False,68,384,33,10,7,0.5,positive
279,4,love scent smell somewhat like babi powder feminin sure much keep perspir sweat lot danc keep smell bay love wish leav horribl waxi residu hard remov shower,True,52,274,22,7,6,0.2816666666666666,positive
280,5,perfect quick snack brilliant cupboard stock,True,12,67,6,1,2,0.7444444444444445,positive
281,5,love soap leav skin feel smooth moisturis use product,True,18,98,9,4,3,0.45,positive
282,5,smell realli fresh,True,3,19,0,0,1,0.3,positive
283,5,sign subscript great valu wonder smell last age never fabric condition compar,True,25,144,13,4,3,0.4,positive
284,5,great valu,True,2,11,0,0,1,0.8,positive
285,5,smell nice creami textur doeant dri hand buy,False,15,82,6,3,2,0.6,positive
286,1,use product liter year chang someth irrit skin slight burn sensat earth would chang perfect product pleas go back old one,False,38,212,15,6,3,0.23333333333333334,positive
287,5,smell divin easi use glide skin skin feel soft luxuri everi use dri patch smooth soft skin smell divin well worth star one desert island product review collect part promot,False,49,256,17,3,1,0.22499999999999998,positive
288,5,smell aaaaaaaaamaz fresh great valu larg bottl last age cheaper high st store rsi carri heavi shop,True,29,164,11,3,7,0.315,positive
289,5,brill,True,1,5,0,0,1,0.0,neutral
290,5,nice smell shower gel,True,4,25,0,1,1,0.6,positive
291,5,love decent fabric soften nice fragranc,True,12,72,4,2,3,0.4222222222222222,positive
292,5,smell nice cloth nice soft,True,9,45,4,0,37,0.43333333333333335,positive
293,5,love smell comfort buy time would diffid recommend leav cloth smell nice,True,19,107,6,1,1,0.55,positive
294,5,smell amaz,False,2,14,0,0,1,0.0,neutral
295,5,smell nice keep cloth smell fresh,False,6,40,0,0,1,0.44999999999999996,positive
